Rating	ID	Title	Title Slug	Contest Slug	Problem Index
3018.4940165727	1719	Number Of Ways To Reconstruct A Tree	number-of-ways-to-reconstruct-a-tree	biweekly-contest-43	Q4
2872.0290327119	1982	Find Array Given Subset Sums	find-array-given-subset-sums	weekly-contest-255	Q4
2863.1378294349	770	Basic Calculator IV	basic-calculator-iv	weekly-contest-68	Q5
2849.4841858619	1728	Cat and Mouse II	cat-and-mouse-ii	weekly-contest-224	Q4
2817.2672126020	1977	Number of Ways to Separate Numbers	number-of-ways-to-separate-numbers	biweekly-contest-59	Q4
2803.7652028979	2060	Check if an Original String Exists Given Two Encoded Strings	check-if-an-original-string-exists-given-two-encoded-strings	weekly-contest-265	Q4
2765.2533837781	803	Bricks Falling When Hit	bricks-falling-when-hit	weekly-contest-76	Q4
2690.5859406179	1960	Maximum Product of the Length of Two Palindromic Substrings	maximum-product-of-the-length-of-two-palindromic-substrings	biweekly-contest-58	Q4
2666.6681508450	1397	Find All Good Strings	find-all-good-strings	weekly-contest-182	Q4
2661.0670044656	1923	Longest Common Subpath	longest-common-subpath	weekly-contest-248	Q4
2655.2178711909	1659	Maximize Grid Happiness	maximize-grid-happiness	weekly-contest-215	Q4
2650.8996457642	2097	Valid Arrangement of Pairs	valid-arrangement-of-pairs	weekly-contest-270	Q4
2648.1748409542	2071	Maximum Number of Tasks You Can Assign	maximum-number-of-tasks-you-can-assign	biweekly-contest-65	Q4
2640.3824813624	1787	Make the XOR of All Segments Equal to Zero	make-the-xor-of-all-segments-equal-to-zero	weekly-contest-231	Q4
2628.7957821141	2213	Longest Substring of One Repeating Character	longest-substring-of-one-repeating-character	weekly-contest-285	Q4
2620.4181842249	1830	Minimum Number of Operations to Make String Sorted	minimum-number-of-operations-to-make-string-sorted	biweekly-contest-50	Q4
2610.9906730644	2056	Number of Valid Move Combinations On Chessboard	number-of-valid-move-combinations-on-chessboard	biweekly-contest-64	Q4
2610.0826855063	1687	Delivering Boxes from Storage to Ports	delivering-boxes-from-storage-to-ports	biweekly-contest-41	Q4
2594.1356734520	964	Least Operators to Express Number	least-operators-to-express-number	weekly-contest-116	Q4
2587.8725248485	1883	Minimum Skips to Arrive at Meeting On Time	minimum-skips-to-arrive-at-meeting-on-time	weekly-contest-243	Q4
2583.9006314254	2019	The Score of Students Solving Math Expression	the-score-of-students-solving-math-expression	weekly-contest-260	Q4
2583.4069119510	936	Stamping The Sequence	stamping-the-sequence	weekly-contest-109	Q4
2575.9570281316	1531	String Compression II	string-compression-ii	weekly-contest-199	Q4
2571.5520281210	1489	Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree	find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree	weekly-contest-194	Q4
2566.5910742837	913	Cat and Mouse	cat-and-mouse	weekly-contest-104	Q4
2561.7794931859	2030	Smallest K-Length Subsequence With Occurrences of a Letter	smallest-k-length-subsequence-with-occurrences-of-a-letter	weekly-contest-261	Q4
2559.4351004238	1815	Maximum Number of Groups Getting Fresh Donuts	maximum-number-of-groups-getting-fresh-donuts	biweekly-contest-49	Q4
2558.3297484354	2014	Longest Subsequence Repeated k Times	longest-subsequence-repeated-k-times	weekly-contest-259	Q4
2539.8637263970	1819	Number of Different Subsequences GCDs	number-of-different-subsequences-gcds	weekly-contest-235	Q4
2537.7965575726	1595	Minimum Cost to Connect Two Groups of Points	minimum-cost-to-connect-two-groups-of-points	weekly-contest-207	Q4
2533.7796160302	1948	Delete Duplicate Folders in System	delete-duplicate-folders-in-system	weekly-contest-251	Q4
2533.3027905062	1675	Minimize Deviation in Array	minimize-deviation-in-array	weekly-contest-217	Q4
2531.6452775023	1896	Minimum Cost to Change the Final Value of Expression	minimum-cost-to-change-the-final-value-of-expression	biweekly-contest-54	Q4
2530.6905139914	1776	Car Fleet II	car-fleet-ii	weekly-contest-230	Q4
2529.5251086936	1632	Rank Transform of a Matrix	rank-transform-of-a-matrix	weekly-contest-212	Q4
2517.6829964848	2040	Kth Smallest Product of Two Sorted Arrays	kth-smallest-product-of-two-sorted-arrays	biweekly-contest-63	Q4
2502.5176603922	1938	Maximum Genetic Difference Query	maximum-genetic-difference-query	weekly-contest-250	Q4
2499.5640490579	1735	Count Ways to Make Array With Product	count-ways-to-make-array-with-product	biweekly-contest-44	Q4
2499.3282271507	2157	Groups of Strings	groups-of-strings	weekly-contest-278	Q4
2489.6652421066	2035	Partition Array Into Two Arrays to Minimize Sum Difference	partition-array-into-two-arrays-to-minimize-sum-difference	weekly-contest-262	Q4
2486.2339675701	1916	Count Ways to Build Rooms in an Ant Colony	count-ways-to-build-rooms-in-an-ant-colony	weekly-contest-247	Q4
2483.9435767299	1932	Merge BSTs to Create Single BST	merge-bsts-to-create-single-bst	weekly-contest-249	Q4
2481.7175364169	1330	Reverse Subarray To Maximize Array Value	reverse-subarray-to-maximize-array-value	biweekly-contest-18	Q4
2479.3282985529	1803	Count Pairs With XOR in a Range	count-pairs-with-xor-in-a-range	weekly-contest-233	Q4
2476.7727985927	2117	Abbreviating the Product of a Range	abbreviating-the-product-of-a-range	biweekly-contest-68	Q4
2476.4517642870	1622	Fancy Sequence	fancy-sequence	biweekly-contest-37	Q4
2466.8891773908	1703	Minimum Adjacent Swaps for K Consecutive Ones	minimum-adjacent-swaps-for-k-consecutive-ones	biweekly-contest-42	Q4
2464.5077611012	1994	The Number of Good Subsets	the-number-of-good-subsets	biweekly-contest-60	Q4
2457.1155741860	1782	Count Pairs Of Nodes	count-pairs-of-nodes	biweekly-contest-47	Q4
2456.3900212097	1499	Max Value of Equation	max-value-of-equation	weekly-contest-195	Q4
2455.8244137907	1040	Moving Stones Until Consecutive II	moving-stones-until-consecutive-ii	weekly-contest-135	Q4
2454.7653333657	1900	The Earliest and Latest Rounds Where Players Compete	the-earliest-and-latest-rounds-where-players-compete	weekly-contest-245	Q4
2449.1323757838	2127	Maximum Employees to Be Invited to a Meeting	maximum-employees-to-be-invited-to-a-meeting	weekly-contest-274	Q4
2439.7337408636	1872	Stone Game VIII	stone-game-viii	weekly-contest-242	Q4
2433.3767704629	903	Valid Permutations for DI Sequence	valid-permutations-for-di-sequence	weekly-contest-101	Q4
2429.6705422448	782	Transform to Chessboard	transform-to-chessboard	weekly-contest-71	Q4
2429.0940568399	1998	GCD Sort of an Array	gcd-sort-of-an-array	weekly-contest-257	Q4
2428.7985254341	1044	Longest Duplicate Substring	longest-duplicate-substring	weekly-contest-136	Q4
2422.5309771173	1000	Minimum Cost to Merge Stones	minimum-cost-to-merge-stones	weekly-contest-126	Q4
2422.3128048015	1987	Number of Unique Good Subsequences	number-of-unique-good-subsequences	weekly-contest-256	Q4
2418.5742747632	1203	Sort Items by Groups Respecting Dependencies	sort-items-by-groups-respecting-dependencies	weekly-contest-155	Q4
2415.0089731911	2003	Smallest Missing Genetic Value in Each Subtree	smallest-missing-genetic-value-in-each-subtree	weekly-contest-258	Q4
2413.3969129689	1928	Minimum Cost to Reach Destination in Time	minimum-cost-to-reach-destination-in-time	biweekly-contest-56	Q4
2409.7580728676	1388	Pizza With 3n Slices	pizza-with-3n-slices	biweekly-contest-22	Q4
2399.5729141925	920	Number of Music Playlists	number-of-music-playlists	weekly-contest-105	Q4
2396.6267778669	808	Soup Servings	soup-servings	weekly-contest-78	Q3
2395.8765531206	1825	Finding MK Average	finding-mk-average	weekly-contest-236	Q4
2392.0799451298	2172	Maximum AND Sum of Array	maximum-and-sum-of-array	weekly-contest-280	Q4
2391.8086687918	818	Race Car	race-car	weekly-contest-80	Q4
2389.9634276167	1681	Minimum Incompatibility	minimum-incompatibility	weekly-contest-218	Q4
2385.8072128533	1349	Maximum Students Taking Exam	maximum-students-taking-exam	weekly-contest-175	Q4
2383.7724811656	1521	Find a Value of a Mysterious Function Closest to Target	find-a-value-of-a-mysterious-function-closest-to-target	weekly-contest-198	Q4
2381.4790248580	956	Tallest Billboard	tallest-billboard	weekly-contest-114	Q4
2378.6234112504	757	Set Intersection Size At Least Two	set-intersection-size-at-least-two	weekly-contest-65	Q4
2377.3895801187	854	K-Similar Strings	k-similar-strings	weekly-contest-89	Q4
2376.8658923518	887	Super Egg Drop	super-egg-drop	weekly-contest-97	Q4
2374.1850487395	1840	Maximum Building Height	maximum-building-height	weekly-contest-238	Q4
2366.7099607655	1183	Maximum Number of Ones	maximum-number-of-ones	biweekly-contest-8	Q4
2364.3930657709	2132	Stamping the Grid	stamping-the-grid	biweekly-contest-69	Q4
2364.3455634374	2203	Minimum Weighted Subgraph With the Required Paths	minimum-weighted-subgraph-with-the-required-paths	weekly-contest-284	Q4
2363.5096568214	1755	Closest Subsequence Sum	closest-subsequence-sum	weekly-contest-227	Q4
